呵	;kk;kk;kk;dz;ks;kk;kh
𧈝	;iv;iv;iy;ca;jn;;
𧓪	;ig;ig;iy;ci;jq;;
𧧝	;yy;wy;yy;sl;yd;;
𧬬	;yw;wn;yy;sh;yo;;
𨁶	;zy;zy;zy;pc;kh;;
𨓴	;ze;ze;zx;au;rh;;
𨖭	;zt;zt;zy;vu;md;;
𨨙	;jy;jy;jy;zi;qa;;
𨸺	;ej;ej;ej;ts;bl;;
𨹝	;eb;eb;ey;tm;bk;;
𩃐	;yu;yd;yd;ti;fw;;
𩨠	;gy;gy;gy;fl;me;;
𩭯	;ey;ay;iy;pc;de;;
𩮝	;ek;ak;ih;pd;de;;
𩿔	;in;in;nf,fn;xx;rc;;
𪆰	;cn;cn;ng,gn;lx;aj;;
𪖐	;zv;zv;bg;oa;th;;
𪗹	;vt;vt;ig;lg;hb;;
𪘬	;vt;vt;iy,ig;lg;hb;;
験	;mr;mn;mr;nj;cw;;hr
顔	;wy;ib;yy;iw;ut;;dh
塩	;tm;tm;tm;ga;ft;;tp
縯	;sb;yb;sy;ih;xp;;ib
讠	;dv;dv;yj;sy;yy,zz;;ab
礹	;uw;uw;ug,uy;mh;dk;;hk
昖	;og;os;og;ok;jw;;gp
嚴	;kw;kw;kg;dh;kk;;kd
剡	;hd;hd;dy;cp;oo;hd;qs
煙	;ht;ht;ht,hy;cg;os;;qh
酓	;ry;ry;yj;jy;wy;;rh
啱	;ku;ku;ky;dm;km;kk;
巘	;uq;eq;uq,ux;vm;mh;;ss
巖	;uw;ew;ug,uy;vh;mk;;sd
硏	;ug;ug;ug,uk;me;df;;hh
豔	;um;em;dm,fh,fm,qm;va;dh;;ht
厳	;xw;xw;dg;kh;id;;dd
彥	;wp;wp;pi,wp;ve;yd;;dp
鹽	;im;im;ml;qa;ah;;hh
菸	;cd;cd;cy;lw;ay;cd;cd
厭	;iq;iq;iq,iy;xm;dj;;hd
驗	;mr;mr;mq;nj;cw;;hr
嚈	;kq;kq;kq,ky;dm;kd;;kh
醃	;yd;yd;yd,yy;ya;sg;;hh
埏	;tv;tz;ty;gu;ft;tv;tp
揜	;fc;fc;fc,fy;ul;rw;;fr
鴳	;bn;bn;na;wx;pv;;bp
喦	;ku;ke;up;dv;kk;;ks
訁	;wk;wk;da,dk,wk;sy;yy;;aa
鴈	;in;in;in;xx;dw;;hd
焔	;ho;ho;hj;co;oq;;qp
檿	;im;im;im,mq,my;xe;dj;;hm
黰	;lb;hb;hv;ph;lf;;sh
龑	;lt;lt;lt;tm;ue;;dd
鷃	;on;on;ny,na;ox;jp;;gp
嵒	;ku;ke;up;dv;kk;;ks
贗	;ib;ib;bn,by,ib;xo;dw;;hd
閹	;md;md;md,my;aa;ud;;vv
嚥	;kh;kh;ky;dc;ka;;kc
兗	;wx;we;lx,wx;ap;uk;;dv
曕	;ok;ok;ov,oy;os;jq;;gp
讌	;yh;wh;yy;sc;ya;;ac
贋	;ib;ib;bv,by,ib;xo;dw;;hd
梴	;mv;mz;my;eu;st;lv;mp
黤	;ld;hd;hd,hy;pa;lf;;sh
巗	;uw;ew;ug,uy;vh;mk;;sk
燄	;dh;dh;hj,hx,yj,yx;xc;qv;;pq
猒	;oq;oq;qo,qy;om;je;;gh
鬳	;hg;hl;hg;zn;ha;;ss
炏	;hh;hh;hh;cc;oo;;qq
烻	;hv;hz;hy;cu;ot;hv;qp
顏	;wy;wb;yy;vw;yd;;dh
麣	;lw;gw;lg,ly;xh;yn;;dk
匽	;kn;kn;kn,ky;nb;aj;;hv
隒	;ej;en;ej;tc;bu;;vd
鶠	;kn;kn;nn,ny;nx;aj;;hp
硯	;uj;ue;uj;me;dh;;hs
簷	;vk;vk;vv,vy;rs;tq;;la
醼	;yh;yh;yy;yc;sg;;hc
鰋	;yn;an;yn,yy;wb;qo;;ph
牪	;nn;nn;nn;qq;tr;;pp
喭	;kp;kp;ky;de;ku;;kd
姸	;ng;ng;ng,nk;be;vf;;nh
嵃	;up;ep;uy;ve;mu;;sd
嵓	;uk;ek;up;vd;mk;;sk
抁	;fy;fe;fy;up;rc;;fv
櫩	;mj;mj;my;ep;su;;mv
珚	;wy;wd;wy;nm;gl;;wk
艷	;ub;eb;sd,sf;vm;dh;;sp
莚	;cv;cz;cy;lu;at;;cd
觾	;dh;dh;jy;xc;qe;;pc
諺	;yp;wp;yy;se;yu;;ad
豓	;um;em;dm,fh,fm,qm;va;dh;;hh
閆	;ms;ms;ms;at;ud;;vh
閻	;mj;mj;mj,mx;ap;uq;;vh
黶	;ih;ih;hq,hy,ih;xp;dj;;hq
齞	;vv;vb;iv;lh;hb,hw;;sk
偐	;rp;rp;ry;je;wu;;rd
儼	;rw;rw;rg,ry;jh;wk;;rk
姲	;nn;nn;na;bb;vp;;nb
懕	;ix;ix;xq,xy;xh;dj;;hx
懨	;xq;xq;xq,xy;hm;nd;;xh
淊	;dj;dj;dj,dx;kp;iq;;up
渷	;dx;de;dx,dy;kp;iu;;ud
灎	;dm;dm;dh,dm;ka;im;;ut
灔	;db;db;ds,dy;km;im;;up
灧	;db;db;ds,dy;km;id;;us
灩	;dm;dm;dh,dm;ka;id;;uh
焑	;hm;hm;hk;ce;ol;;
熖	;hj;hj;hy;cp;oe;;qp
阽	;ev;ek;ev;td;bh;ek;vs
騴	;mn;mn;ma,my;nb;cj;;hg
驠	;mh;mh;my;nc;ca;;hc
黫	;lt;ht;ht,hy;pg;lf;;sh
黬	;lk;hk;hx;pd;lf;;sh
黭	;lc;hc;hc,hy;pl;lf;;sr
㓧	;rd;rd;dh;jp;wy;;
㕣	;bk;bk;kb;hd;wk;;
㗴	;ko;ko;kx;dv;ku;;
㘖	;ky;kb;ky;dw;ku;;
㘙	;kw;kw;ky;dh;kk;;
㚧	;ng;ng;ny;bx;vy;;
㛪	;nd;nd;ny;ba;vd;;
㢂	;gl;gk;yd;xk;yw;;
㢛	;gr;gr;yj;xj;yw;;
㤿	;xd;xd;xy;ha;nd;;
㦔	;ox;ox;xy;oh;je;;
㫃	;fr;fr;fr;lj;yw;;
㫟	;ok;ok;ok;od;jm;;
㬫	;co;no;oy;lo;au;;
㭺	;md;md;my;ea;sd;;
㳂	;dg;ds;dg;kk;iw;;
㶄	;dj;dj;dy;kp;iu;;
㷔	;ho;ho;hj;co;oe;;
㷳	;ih;ih;hy;xc;dw;;
㷼	;ch;nh;hc;lc;au;;
㿕	;bj;bj;by;ap;uu;;
㿼	;km;km;mj;fa;ga;;
䀋	;pt;tm;mt;ga;ft;;
䀽	;ov;oz;oy;qu;ht;;
䁙	;on;on;oy;qb;hj;;
䂩	;uy;ud;uy;mm;dl;;
䂴	;uk;uk;uy;ms;dy;;
䄋	;pd;pd;uy;fa;py;;
䅧	;ho;ho;hy;xx;tu;;
䇾	;vk;vk;vy;rs;ty;;
䊙	;um;km;my;mp;dg;;
䊻	;sq;yr;sq;ie;xq;;
䌪	;sj;yj;sy;ip;xu;;
䎦	;lh;lh;ly;ac;di;;
䑍	;on;on;oy;vb;em;;
䓂	;ck;ck;cy;ls;ay;;
䕾	;cw;cw;cy;lh;ak;;
䖗	;hk;hk;hx;zd;ha;;
䗡	;ih;ih;iy;cc;jg;;
䗺	;zi;zi;yk;tc;th;;
䜩	;yh;yh;yy;sc;ya;;
䢥	;zo;zo;zo;fu;gh;;
䢭	;zq;zr;zx,zy;gu;ug;;
䣍	;de;de;ey;mt;dj;;
䤷	;jn;jn;jy;zb;qa;;
䭘	;ux;rx;uj;qy;wy;;
䱲	;yu;au;yh;wj;qo;;
䲓	;yr;ar;yj;wj;qo;;
䳛	;on;on;ny;ox;jv;;
䳺	;rn;rn;ny;jx;wy;;
䴏	;cn;nn;ny;lx;au;;
乵	;xv;lv;xg;na;un;;dv
傿	;rh;rh;ry;jc;wg;;rh
剦	;dd;dd;dd,dy;mp;dj;;hs
厴	;ij;ij;ij;xs;dj;;hs
噞	;kr;kr;kq;dj;kw;;kr
壛	;tj;tj;ty;gp;fu;;tv
壧	;tw;tw;tg,ty;gh;fk;;tk
妟	;on;on;on,rn;ob;jv;;gn
娫	;nv;nz;ny;bu;vt;;np
娮	;nk;nk;ny;bs;vy;;na
嬊	;cn;nn;cn,nb;lb;au;;cn
嬮	;in;in;nq,ny;xb;dj;;hn
孍	;nw;nw;ng,ny;bh;vk;;nk
嶖	;ux;ex;ux,uy;vz;mw;;sr
巌	;uw;ew;ug,uy;vh;mi;;sd
巚	;uq;eq;uq,ux;vm;mh;;sd
愝	;xn;xn;xn,xy;hb;na;;xh
揅	;uu;uu;uy;mu;dg;;hf
敥	;hy;hy;hy,py;ch;oo;;qs
暥	;on;on;oa,oy;ob;jj;;gg
曣	;oh;oh;oy;oc;ja;;gc
曮	;ow;ow;og,oy;oh;jk;;gk
椼	;md;mi;mi,my;ek;st;;mp
楌	;mp;mp;my;ee;su;;md
樮	;mh;mh;mh;ec;sg,ss;;mh
欕	;mw;mw;mg,my;eh;sk;;mk
歅	;xq;xr;qt,qy;ve;sf;xr;hp
殗	;dd;dd;dd,dy;ga;gq;;hh
狿	;qv;qz;qy;mu;qt;;pp
琂	;wk;wk;wy;ns;gy;wk;wa
硽	;ud;ud;ud,uy;ma;dd;;hh
碞	;ku;ku;up;dm;kk;;kk
篶	;vh;vh;vy;rc;tg;;lq
臙	;oh;oh;oy;vc;ea;;yc
艶	;qb;qb;sd,sl;ym;ma;;sp
萒	;cy;ce;cy;lp;au;;cv
蔅	;cn;cn;cn;lb;au;;cn
褗	;pn;pn;yn,yy;tb;pu;;dh
覎	;jz;oz;jz;eh;hq;;sv
訮	;yk;wk;yk;sl;yg;;ah
詽	;yg;wg;yk;se;yf;;ah
讞	;yq;wq;yq,yx;sm;yh;;as
躽	;un;un;un,uy;zb;tm;;ph
軅	;uv;uf;uy;zu;tm;;ph
遃	;zp;zp;zy;iu;ut;;dl
郔	;ze;ze;ey;tt;th;;pv
酀	;ce;ne;ey;lt;au;;cv
釅	;yw;yw;yg,yy;yh;sg;;hk
隁	;en;en;en,ey;tb;ba;;vh
顩	;ry;rb;yq;jw;wg;;rh
饜	;ig;il;iu,uq,uy;xq;dj;;hd
騐	;mx;mx;mn;nh;cw;;hr
魘	;ig;ig;gy,gq,ig;xa;dj;;hd
鳫	;in;in;in;xx;dw;;hd
鷰	;cn;nn;cn,nb;lx;au;;cq
鼴	;jn;jn;un,uy;pb;vn;;ph
齴	;vp;vp;iy;le;hb,hw;;sd
𠆲	;rg;rg;gr,rg;jx;wy;;
𠍛	;rn;rn;rn;jb;wd;;
𠘥	;dw;dw;dy;wh;uk;;
𠛭	;yd;kd;yd;rp;ld;;
𠝢	;rd;rd;yd;jp;wg;;
𠰖	;kl;kl;kl;dr;ka;;
𠻤	;kb;kb;ky;dh;kp;;
𡙶	;yd;yd;yd,dd;tt;td;;
𡚇	;sd;sd;dj,ad,ds;ym;lh;;
𡣽	;nj;nj;ny;bp;vu;;
𡹶	;un;en;uy,un;vb;ma;;
𢅠	;ij;ij;jy,yj;xr;dj;;
𢇈	;dy;yp;rb,yb;ih;xx;;
𢇘	;gn;gn;gn;xb;yv;;
𢈂	;gl;gk;;xk;yn;;
𢉘	;gh;gh;gy;xc;yo;;
𢌨	;zo;zo;zo;su;hh;;
𢔂	;rd;id;xy;wa;td;;
𢜰	;xc;xc;xy;hl;nw;;
𢤍	;gx;gx;gx,xq;zh;af;;
𢯼	;fd;fi;fy;uk;rt;;
𢸴	;fj;fj;fy;up;ru;;
𢾑	;ly;ly;wy,yp,py;xh;uj;;
𣃧	;fo;fo;fo;lo;yt;;
𣃳	;fy;fy;fn,fy;lr;yt;;
𣃾	;fd;fd;fy;la;yd;;
𣄉	;fy;fy;fy;ly;yt;;
𣄑	;fd;fd;fy;la;yt;;
𣄝	;fr;fr;fj;lj;yw;;
𣚕	;mq;mq;my,mq;em;sj;;
𣝎	;mh;mh;my;ec;st;;
𣡕	;mm;mm;ll,ml;ee;ss;;
𣡞	;mk;mk;mi;es;su;;
𣡶	;mm;mm;my;ea;sa;;
𣥡	;vm;vm;vm;sv;ht;;
𣩙	;dh;dh;dy;gc;gq;;
𣭻	;km;zm;zm,mz;pv;kh;;
𣼞	;dk;dk;dk;kd;iw;;
𣼠	;dj;dj;dj;ko;iy;;
𤂠	;dq;ds;kq;kk;if;;
𤅊	;dq;dq;dx;km;ih;;
𤅸	;dm;dm;dy;ka;ia;;
𤎄	;hh;hh;hy;cc;og;;
𤖝	;pk;pk;pv;as;nh;;
𤗎	;pd;pd;py;aa;th;;
𤜵	;qk;qk;qj,qk;ml;qt;;
𤟇	;qh;qh;qy;mc;qt;;
𤟟	;qo;qo;qy;mx;qt;;
𤡖	;qk;qz;qv;mu;qt;;
𤢋	;qc;qa;qy;ml;qt;;
𤫣	;ww;ww;wx,wy;nr;gh;;
𤬝	;hg;hg;gg,hg;zy;ha;;
𤯇	;gh;gh;gy;zc;af;;
𤯐	;gj;gj;gy;zp;af;;
𤲩	;th;th;ty;qc;lo;;
𤸹	;bd;bd;bu;ap;uo;;
𥀬	;ip;iy;py,yp;xr;dj;;
𥂁	;pt;tm;mk,tm;ga;ft;;
𥃿	;og;og;og;qu;ha;;
𥍻	;mn;sn;my,mn;ib;cb;;
𥕼	;uy;uy;uy;my;dw;;
𥜒	;uq;pq;uy;fm;py;;
𥣘	;hq;hq;hy;xm;td;;
𥤟	;hm;hm;hy;xa;ta;;
𥤴	;bk;bk;xj,xk;el;pw;;
𥯃	;vd;vd;vy;ra;td;;
𥴿	;vk;vk;vk;rd;ty;;
𥶿	;vj;vj;vy;rp;tu;;
𥷀	;vh;vh;vy;rc;ta;;
𦁏	;sd;yd;sy;ia;xd;;
𦁙	;sy;ye;sy;ip;xu;;
𦌚	;sd;sd;sd;ym;lu;;
𦎣	;yt;yt;yy,yt;gg;ud;;
𦏥	;yd;yd;yd;gm;ud;;
𦏹	;xg;xg;yg;ze;nf;;
𦑎	;xd;xd;yy;za;nd;;
𦖈	;ed;ed;ey;qa;bd;;
𦖧	;en;en;ey,en;qb;ba;;
𦛞	;ob;ob;oy;vm;ek;;
𦛣	;oz;or;oz;vp;ef;;
𦝪	;ot;ot;oy,ot;vg;es;;
𦫤	;dy;db;sy;xw;qc;;
𧇱	;hk;hk;hx;zd;ha;;
𧊔	;ri;ii;xi,ix;pc;tj;;
𧍢	;ri;ii;iy,yi;pc;ti;;
𧎘	;id;ii;iy;ck;jt;;
𧞣	;pq;pq;yy;tm;pu;;
𧠦	;jo;oo;jo;eq;hq;;
𧥜	;wk;wk;wk;sy;yf;;
𧩅	;yw;ww;yw;sh;yy;;
𧬌	;yu;we;yn,yy,yk;sv;yk;;
𧴣	;vw;vw;vy;mh;ee;;
𧹬	;it;tt;iy,it;gg;fo;;
𧺅	;yi;vd;iu,ui,ix;bc;vf;;
𧽉	;tn;tn;zy;pb;fh;;
𧽞	;th;th;zy;pc;fh;;
𧾤	;tw;tw;zy;ph;fh;;
𨀅	;zr;zr;zr;pg;kh;;
𨁍	;zj;ze;zj;pe;kh;;
𨁹	;zh;zh;zy;pc;kh;;
𨂪	;zp;zp;zy;pe;kh;;
𨃰	;zj;zn;zj;pc;kh;;
𨒄	;zk;zk;zy;hu;wk;;
𨟹	;yv;yv;yj;ya;sg;;
𨠭	;ry;ry;hy,yh;jy;wg;;
𨡄	;yk;yk;yy;ys;sg;;
𨡎	;yx;yx;yn;yh;sg;;
𨡣	;ry;ry;yn;jy;wy;;
𨣻	;ny;ny;yj;by;vw;;
𨤎	;ym;ym;yy;ya;sg;;
𨪶	;jn;jn;jy;zb;qj;;
𨴣	;mn;mn;ma;ab;up;;
𨶁	;mn;mn;my;ab;uj;;
𨷽	;mm;mm;my;aa;ua;;
𨸮	;ek;ek;ey,ek;td;bw;;
𨺥	;ex;ee;ey;tp;bu;;
𨻂	;en;en;ey;tb;bj;;
𨻳	;eh;eh;ey;tc;bg;;
𨽑	;ep;ep;ep;te;be;;
𩃀	;yv;yz;yy;tu;ft;;
𩈯	;md;md;my;ba;dm;;
𩒖	;gy;gb;yj,ky,yk;ew;gd;;
𩗷	;fd;jd;fy;oa;mt;;
𩜽	;up;rp;uy;qe;wy;;
𩣲	;mb;mb;md;nh;cm;;
𩩄	;gg;gg;gj,gk;fe;me;;
𩩴	;gk;gk;gx;fd;me;;
𩩶	;gg;gl;gu;fq;me;;
𩪴	;gg;gl;gy;fi;me;;
𩳢	;gd;gd;gy;aa;rq;;
𩻖	;yn;an;yy;wb;qo;;
𩾸	;in;in;nz,zn;xx;dw;;
𪁡	;xn;xn;in,nz;bx;qd;;
𪂈	;hn;hn;ny,yn;cx;oo;;
𪐘	;lv;hv;hy;pa;lf;;
𪑈	;lj;he;hj;pe;lf;;
𪒝	;ly;hs;hy;pb;lf;;
𪗙	;vg;vg;ig;le;hb;;
𪗤	;vd;vd;id;lz;hb;;
𪙊	;vj;vn;ij;lc;hb;;
樣	;my;my;my;ek;su;;md
様	;mu;mn;mu;ek;su;;md
详	;yy;yy;yy;sg;yu;yy;ad
卬	;pe;pe;ea,ev;bz;qb;pe;pv
昜	;ow;ow;ow;oe;jg;;gp
陽	;ew;ew;ey;te;bj;;vg
楊	;mw;mw;my;ee;sj;;mg
養	;yg;yl;yl,yu;gi;ud;;dd
癢	;bg;bl;by;ai;uu;;dd
揚	;fw;fw;fy;ue;rj;;fg
暘	;ow;ow;oy;oe;jj;;gg
胦	;oy;oy;oy;vm;em;;ys
坱	;ty;ty;ty;gm;fm;;ts
瘍	;bw;bw;by;ae;uj;;dp
鉠	;jy;jy;jy;zm;qm;;js
紻	;sy;yy;sy;im;xm;;is
颺	;fw;jw;fy;oe;mt;;pp
鍚	;jw;jw;jy;ze;qj;;jg
煬	;hw;hw;hy;ce;oj;;qg
炴	;hy;hy;hy;cm;om;;qs
劷	;yl;yl;ly,yl;gs;ud;;dv
詇	;yy;wy;yy;sm;ym;;as
軮	;iy;iy;iy;ym;lm;;hs
輰	;iw;iw;iy;ye;lj;;hg
鸉	;mn;mn;ny;ex;sj;;md
岟	;uy;ey;uy;vm;mm;;ss
崸	;uy;eb;uy;vw;md;;sh
敭	;ow;ow;wy;oh;jg;;gp
柍	;my;my;my;em;sm;;ms
瀁	;dg;dl;dy;ki;iu;;ud
珜	;wy;wy;wy;ng;gu;;wd
眏	;oy;oy;oy;qm;hm;;ss
鍈	;jy;jy;jy;zm;qa;;jc
雵	;yy;yy;yy;tm;fm;;hd
㔦	;yl;yl;ly;gs;ud;;
㟅	;ue;ee;ux;vp;mq;;
㨾	;fy;fy;fy;uk;ru;;
㬕	;oy;oy;ox;og;jp;;
㺊	;qx;qx;qy;mh;qt;;
㿮	;yp;yy;py;mr;md;;
䁑	;ow;ow;oy;qe;hj;;
䇦	;vy;vy;vy;rm;tm;;
䑆	;og;ol;oy;vi;eu;;
䒋	;yb;yb;sy;mm;md;;
䖹	;ig;ig;ig,iy;cg;jg;;
䬗	;of;oi;fy;oc;jg;;
䬬	;uy;ry;uy;qm;wy;;
䬺	;uy;ry;uy;qg;wy;;
䭐	;ux;rx;uy;qh;wy;;
䵮	;lw;hw;hy;pe;lf;;
佒	;ry;ry;ry;jm;wm;;rs
傟	;rx;rx;rw;jz;ww;;rp
姎	;ny;ny;ny;bm;vm;;ns
慃	;xx;xx;xw;hz;nw;;xp
懩	;xg;xl;xy;hi;nu;;xd
抰	;fy;fy;fy;um;rm;;fs
攁	;fg;fl;fy;ui;ru;;fd
楧	;my;my;my;em;sa;;mc
氱	;qw;qw;qy;ve;rn;;pp
眻	;oy;oy;oy;qg;hu;;sd
礢	;ug;ul;uy;mi;du;;hd
蝆	;if;il;ia,if,im;cg;jg;;os
諹	;yw;ww;yy;se;yj;;ag
阦	;eh;eh;eh;tc;bo;;vq
霷	;yw;yw;yy;te;fj;;hp
駚	;my;my;my;nm;cm;;hs
鰑	;yw;aw;yy;we;qo;;pg
鴦	;yn;yn;ny;mx;md;;sd
鴹	;yn;yn;ny;gx;ud;;dp
𠍵	;ry;ry;ry;jk;wu;;
𠢴	;dl;dl;lh,pl;xs;qj;;
𠮴	;xk;xk;kx,xk;fd;gh;;
𡠘	;ny;ny;ny;bk;vg;;
𡡂	;ny;ny;ny;bk;vu;;
𡩶	;by;by;yy;wm;pe;;
𡹕	;ue;ee;ux;vp;my;;
𢏙	;gy;gy;gy;bg;xu;;
𢟣	;xy;xy;xy;hk;nu;;
𢵇	;fy;fy;fy;uk;ra;;
𢽕	;jy;oy;wj,jp,pj;eh;hq;;
𣃝	;fy;fy;fy;lm;ym;;
𣉚	;oy;oy;oz;og;jn;;
𣐫	;am;am;ml,ym,mu;fe;gi;;
𣗹	;mx;mx;my;eh;su;;
𤞢	;qg;qg;qf;mg;qt;;
𤢐	;qv;qf;qy;mu;qt;;
𤢮	;qq;qq;qq;mm;qt;;
𤸡	;by;by;by;am;ua;;
𥂸	;mm;mm;my,ym;ea;sj;;
𥃽	;og;og;og;qu;ha;;
𥒞	;uy;uy;uy;mg;du;;
𥠜	;hw;mw;hy,hw;xe;tj;;
𥥵	;by;by;xy;eg;pw;;
𥬴	;vy;vy;vy;rg;tu;;
𥳜	;vw;vw;vy;re;tb;;
𦍕	;qy;qy;yq,qy;mg;qt;;
𦍹	;xy;xy;yd,dy;lg;qq;;
𦭵	;cy;cy;cy;lg;au;;
𦯒	;ce;ce;cy;lz;aw;;
𦴊	;cy;cy;cy;lm;ag;;
𦼴	;cw;cw;cy;le;as;;
𧓲	;ig;il;iy;cq;ju;;
𧥴	;ye;we;ya;sz;yq;;
𧫛	;yy;wy;yy;sk;yu;;
𧲱	;vy;vy;vy;mm;ee;;
𧵌	;by;oy;by;om;mm;;
𨋽	;iy;iy;iy;yg;lu;;
𨎔	;it;in;ih;yh;la;;
𨖌	;zy;zy;zy;gu;ug;;
𨦡	;jy;jy;jy;zg;qu;;
𨱝	;ew;aw;iw;ph;dt;;
𩊑	;gy;gy;gy;tg;af;;
𩋬	;gw;gw;gy,gw;te;af;;
𩤟	;mw;mw;my,mw;ne;cj;;
𩲴	;gy;gy;gy;am;rq;;
𩴨	;yg;yg;gy,yg;ga;ud;;
𪓛	;yd;yv;my;md;md;;
𪕫	;jw;jw;uy,uw;pe;vn;;
𪚻	;yg;yv;yg;mw;md;;
陶	;ef;ef;ef,et;ta;bq;ef;vp
約	;su;yu;su;ii;xq;;ip
繇	;vx;px;vx,xf;yi;er;px;pp
揺	;fj;fk;ff,fk;um;re;;fp
藥	;cm;cm;cl,cy;le;ax;;cm
窕	;bv;bd;xv,bv;ew;pw;gv;bd
薬	;cm;cm;cl,cm,cy;le;ar;;cm
堯	;tw;tw;tw,wy;gp;ff;;tv
喓	;kn;bn;ky;db;ks;;kh
宎	;by;by;by;wm;pt;;bd
謡	;yf;wf;yf;sa;ye;;ap
飖	;vf;px;ff;yb;er;;pp
烑	;hv;hd;hv;cw;oi;;qp
榣	;mf;mf;mf;ea;se;;mp
燿	;hv;hf;hd,hv;cu;on;;qv
葯	;cu;cu;cy;li;ax;;cd
搖	;ff;ff;ff;ua;rq;;fp
隃	;ed;ed;ey;tp;bw;ed;vr
謠	;yf;wf;yf;sa;yq;;ap
訞	;yy;wy;yy;sm;yt;;ap
鴢	;yn;yn;ny;ix;xl;;ip
怮	;xl;xl;xy;hs;nx;;xi
葽	;cn;cn;cy;lb;as;;cn
遙	;zf;zf;zf;vu;qr;;pl
鑰	;jc;jc;jc,jy;zd;qw;;jr
窔	;bf;bx;xj,bj;eb;pw;;bd
窯	;bh;bh;xg,bg;ec;pw;;bq
殀	;dy;dy;dy;gm;gq;;hp
溔	;dh;dh;dg;kc;iu;;ud
餚	;uo;ro;uy;qv;wp,wy;;rp
騕	;mn;mn;my;nb;cs;;hh
鷂	;vn;pn;nf;yx;er;;pp
嶢	;uw;ew;uy;vp;mf;;st
嶤	;uw;ew;uy;vp;mf;;sv
偠	;rn;rn;ry;jb;ws;;rh
祅	;py;py;uy;fm;py;;dp
颻	;vf;pi;ff;yc;er;;pp
鰩	;yf;af;yf;wa;qo;;pp
矅	;ov;of;od,ov;qu;hn;;sv
婹	;nn;nn;ny;bb;vs;;nh
狕	;ql;ql;qy;ms;qt;;pi
窰	;bf;bf;xf,bf;ea;pw;;qs
邎	;zx;zx;zx;vu;qy;;pl
鷕	;kn;kn;nw;dx;kw;;kd
尭	;uw;uw;uw,wh;np;fa;;hv
摿	;fo;fo;fy;ux;rw;;fr
滧	;dw;dw;dx;kh;iu;dw;ud
熎	;hf;hf;hf;ca;oe;;qp
艞	;vv;vd;vv,vy;iw;te;;pl
軺	;ik;ik;iv;yd;lv;;hv
鎐	;jf;jf;jf;za;qe;;jp
㔽	;bk;lk;bh;yd;hl;;
㝔	;bf;bx;bj;wb;pu;;
㞁	;yb;yb;wy;ov;dn;;
㟱	;uh;eh;ug;vc;mu;;
㢓	;gu;gu;yv;xn;yu;;
㨱	;fk;fk;fy;us;rq;;
㫏	;fn;fn;fy;lb;yt;;
㫐	;ob;ob;ob;ov;jx;;
㮁	;mo;mo;my;ev;sq;;
㴭	;do;do;dy;kq;ip;;
㵸	;dc;dc;dc;kd;iw;;
㿑	;bv;bf;bv;au;un;;
㿢	;ob;ob;bm;ou;je;;
䁏	;on;on;oy;qb;hs;;
䁘	;of;of;oy;qa;he;;
䂚	;ux;ux;ux;mb;dq;;
䄏	;py;py;ua;fm;py;;
䆙	;bv;bv;xv;es;pw;;
䆞	;bb;bb;xy;ev;pw;;
䉰	;vf;vx;vj;rb;tm;;
䋂	;sx;yx;sx;ib;xq;;
䋤	;fu;fu;su;ai;gx;;
䌊	;sf;yf;sy;ia;xe;;
䌛	;xx;px;yx;vi;qy;;
䍃	;vf;pf;vf;ya;er;;
䑬	;vv;vd;vv;iw;te;;
䔄	;cf;cf;cy;la;ae;;
䖴	;iv;id;iv;cw;ji;;
䙅	;pn;pn;yy;tb;pu;;
䚺	;yw;ww;yw;sh;yt;;
䚻	;xk;pk;yd;vs;qy;;
䢣	;zk;zk;zy;lu;qy;;
䬙	;ff;jf;fy;oa;mt;;
䴠	;ly;gy;ly;xm;yn;;
䶧	;vw;vw;iy;lp;hb;;
倄	;ro;ro;ry;jv;wq;;rp
傜	;rf;rf;rf;ja;we;;rp
嗂	;kf;bf;kf;da;ke;;kp
岆	;uy;ey;uy;vm;mt;;sp
愮	;xf;xf;xf;ha;ne;;xp
暚	;of;of;of;oa;je;;gp
枖	;my;my;my;em;st;;mp
柼	;mb;mb;mx;ee;sp;;mb
楆	;mn;mn;my;eb;ss;;mh
榚	;mh;mh;mg;ec;su;;md
瑤	;wf;wf;wf;na;gq;;wp
磘	;uf;uf;uf;ma;de;;hp
穾	;by;by;xy,by;em;pw;;bd
筄	;vv;vd;vv;rw;ti;;ld
苭	;cl;cl;cy;ls;ax;;cp
蓔	;ch;ch;cg;lc;au;;cq
蘨	;cx;cx;cx,cy;li;ae;;cd
袎	;pl;pl;yy;ts;pu;;di
覞	;jj;oe;jj;ee;hq;;ss
詏	;yl;wl;yy;ss;yx;;ai
讑	;yc;wc;yc,yy;sd;yw;;ar
闄	;mn;mn;my;ab;us;;vn
顤	;ty;tb;yy;gw;ff;;th
餆	;uv;rd;uv;qw;wp,wy;;rp
鱙	;yw;aw;yy;wp;qo;;pt
鴁	;yn;yn;ny;tx;td;;pp
鼼	;zj;zl;bj;oi;th;;pv
齩	;vf;vx;ij;lb;hb,hw;;sd
𠌠	;rt;rt;rv;jy;we;;
𠍩	;rl;rl;ra;jp;wd;;
𠏈	;rf;rf;rf;ja;wq;;
𠑐	;rk;rk;cc;jd;wy;;
𠕻	;by;be;by;wp;pf;;
𠟋	;td;td;yd;gp;ff;;
𠢩	;tl;tl;ly,yl;gs;ff;;
𠣑	;by;be;gy,ye;np;qf;;
